produit,ref_produit,prix_fournisseur,date_mise_a_jour
Écran 24 pouces,REF-1001,66.55647665347247,2025-07-26
Webcam HD,REF-1002,121.86891971739792,2024-09-23
Casque Bluetooth,REF-1003,59.158904040566206,2023-02-22
Enceinte Bluetooth,REF-1004,21.28412993962678,2022-12-03
Chargeur rapide,REF-1005,97.50785484002816,2023-02-08
Disque SSD,REF-1006,133.20993718551912,2023-12-29
Câble USB-C,REF-1007,120.09285830517489,2023-08-12
Enceinte Bluetooth,REF-1008,30.34214920996969,2023-12-11
Câble USB-C,REF-1009,126.77988891567443,2025-08-06
Batterie externe,REF-1010,116.64198153649345,2025-10-15
Casque Bluetooth,REF-1011,39.346231051299895,2023-10-03
Disque SSD,REF-1012,48.79877276604528,2024-10-19
Batterie externe,REF-1013,124.27907618448336,2023-04-24
Chargeur rapide,REF-1014,101.7947353972632,2024-06-29
Clavier,REF-1015,116.16513960405888,2023-09-13
Enceinte Bluetooth,REF-1016,70.50631341689822,2024-08-01
Clavier,REF-1017,27.182651120141585,2025-05-18
Casque Bluetooth,REF-1018,111.8466930169064,2024-03-06
Clavier,REF-1019,73.56933501681141,2023-04-03
Disque SSD,REF-1020,18.878610550423453,2025-09-25
Disque SSD,REF-1021,98.08586756427356,2024-06-21
Chargeur rapide,REF-1022,84.27112484354015,2023-05-19
Enceinte Bluetooth,REF-1023,42.24815790862865,2025-02-26
Câble USB-C,REF-1024,77.03119453457956,2024-01-06
Clavier,REF-1025,44.80833683001818,2023-05-24
Chargeur rapide,REF-1026,105.7959603369011,2024-04-22
Souris,REF-1027,69.19396018303144,2024-02-22
Chargeur rapide,REF-1028,110.05494345279962,2024-06-13
Chargeur rapide,REF-1029,54.45805354876198,2025-02-01
Souris,REF-1030,92.46681448093898,2023-05-30
Webcam HD,REF-1031,88.86610296592931,2024-07-30
Chargeur rapide,REF-1032,117.03029548016046,2025-06-02
Écran 24 pouces,REF-1033,17.420446191482426,2024-08-26
Casque Bluetooth,REF-1034,91.38385558739871,2024-07-16
Câble USB-C,REF-1035,51.88887650675051,2023-08-27
Webcam HD,REF-1036,56.474464345630906,2025-07-19
Écran 24 pouces,REF-1037,69.14944078969708,2024-07-19
Clavier,REF-1038,102.09237933942448,2024-09-11
Disque SSD,REF-1039,44.3163782925268,2023-05-13
Batterie externe,REF-1040,99.37721851184315,2023-02-05
Webcam HD,REF-1041,38.47023242733175,2025-05-11
Enceinte Bluetooth,REF-1042,53.2852773934387,2023-10-11
Webcam HD,REF-1043,12.589136989043704,2024-06-19
Clavier,REF-1044,57.62691941766884,2025-08-31
Souris,REF-1045,110.94432398469068,2023-03-01
Écran 24 pouces,REF-1046,13.720639677113857,2023-11-14
Enceinte Bluetooth,REF-1047,143.85566625328013,2023-11-20
Câble USB-C,REF-1048,29.719301035218045,2023-07-12
Enceinte Bluetooth,REF-1049,19.018085198774344,2023-05-20
Câble USB-C,REF-1050,124.1619343656576,2025-04-30
Casque Bluetooth,REF-1051,48.62370071122199,2024-04-19
Batterie externe,REF-9999,120.34024431451073,2025-06-17
Chargeur rapide,REF-1053,62.90080779234968,2023-05-29
Batterie externe,REF-1054,7.903821609244548,2024-10-30
Écran 24 pouces,REF-1055,139.41514034902283,2023-06-27
Casque Bluetooth,REF-1056,127.09482768458108,2024-10-05
Disque SSD,REF-1057,18.47472593501154,2023-12-12
Webcam HD,REF-1058,17.92304265682241,2023-08-12
Chargeur rapide,REF-1059,130.37949784486335,2022-11-16
Disque SSD,REF-1060,124.7798063866166,2025-10-26
Webcam HD,REF-1061,28.099082989752144,2025-07-06
Écran 24 pouces,REF-1062,48.95361161207265,2024-04-21
Clavier,REF-1063,54.54280277505352,2023-09-06
Câble USB-C,REF-1064,17.70819828075659,2024-07-31
Câble USB-C,REF-1065,85.30132490329456,2025-08-16
Souris,REF-1066,62.562319975771096,2025-09-13
