produit,ref_produit,description,prix_fournisseur,date_mise_a_jour
Enceinte Bluetooth,,Produit Enceinte Bluetooth chercher,-21.28412993962678,2022-12-03
Disque SSD,REF-1006,Produit Disque SSD esprit,-133.20993718551912,2023-12-29
Enceinte Bluetooth,,Produit Enceinte Bluetooth avant,-70.50631341689822,2024-08-01
Souris,REF-1030,Produit Souris préparer,-92.46681448093898,2023-05-30
Webcam HD,REF-1043,Produit Webcam HD bonheur,-12.589136989043704,2024-06-19
Clavier,REF-1044,Produit Clavier effet,-57.62691941766884,2025-08-31
Écran 24 pouces,REF-1046,Produit Écran 24 pouces point,-13.720639677113857,2023-11-14
Enceinte Bluetooth,REF-1047,Produit Enceinte Bluetooth question,-143.85566625328013,2023-11-20
Enceinte Bluetooth,REF-1081,Produit Enceinte Bluetooth sûr,-124.25968172698234,2025-05-20
Clavier,,Produit Clavier un,-13.378181344473164,2024-09-10
