order_id,date,client_id,produit,categorie,prix_unitaire,quantite,ville,canal,chiffre_affaires
1,2025-03-05,391,Batterie externe,Informatique,56.8,2,Saint ConstanceVille,Web,113.6
2,2025-01-26,261,Webcam HD,Informatique,146.42,-1,,Web,-146.42
3,2025-08-03,461,Disque SSD,Informatique,11.44,3,Leleu-sur-Lopez,Boutique,34.32
4,2025-07-12,152,Batterie externe,Audio,138.78,2,Saint Lucie,Boutique,277.56
5,2025-04-18,107,Disque SSD,Informatqiue,9.88,5,Toussaint,Web,49.4
6,2024-12-01,251,Câble USB-C,Informatique,122.68,3,Le Roux,Web,368.04
7,2025-08-29,429,Clavier,Accessoire,101.9,1,Pariss,Boutique,101.9
8,2025-03-04,461,Webcam HD,Informatique,-15.16,1,Blin-la-Forêt,Web,-15.16
9,2025-03-10,306,Webcam HD,Audio,186.8,2,Sainte Margot-la-Forêt,Web,373.6
10,2025-01-12,239,Chargeur rapide,Informatique,172.19,5,Blanchet,Web,860.95
11,2025-07-17,295,Disque SSD,Informatique,169.42,3,Sainte Charlotte,Boutique,508.26
12,2025-09-22,21,Chargeur rapide,Informatqiue,136.04,2,Dumas,Boutique,272.08
13,2025-05-06,111,Câble USB-C,Informatique,35.95,2,Dijoux-la-Forêt,Web,71.9
14,2025-10-17,311,Disque SSD,Informatique,164.09,1,Leleu-sur-Lopez,Boutique,164.09
15,2025-10-14,462,Chargeur rapide,Accessoire,124.79,2,Ruiz,Web,249.58
16,2025-02-08,495,Enceinte Bluetooth,Informatique,70.14,1,Perrier,Boutique,70.14
17,2025-07-24,478,Câble USB-C,Informatqiue,27.77,2,Colinnec,Web,55.54
18,2025-05-28,420,Casque Bluetooth,Informatique,28.54,3,,Web,85.62
19,2024-12-27,496,Webcam HD,Informatique,-16.44,3,Dupuy-la-Forêt,Web,-49.32
20,2024-11-05,141,Disque SSD,Informatique,167.45,3,Le Roux,Boutique,502.35
21,2025-04-29,207,Câble USB-C,Accessoire,177.98,1,Aubry-sur-Rivière,Boutique,177.98
22,2025-05-24,232,Disque SSD,Informatique,165.51,2,Guillet,Web,331.02
23,2025-02-06,112,Câble USB-C,Informatique,126.96,5,,Boutique,634.8
24,2025-06-13,471,Batterie externe,Informatique,9.39,3,Le Gall-sur-Lemaire,Web,28.17
25,2025-09-08,213,Écran 24 pouces,Informatique,99.16,-1,,Boutique,-99.16
26,2024-11-07,28,Câble USB-C,Informatique,138.46,2,,Boutique,276.92
27,2025-02-07,345,Écran 24 pouces,Accessoire,98.96,10,Marchal-sur-Duhamel,Web,989.6
28,2025-01-12,50,Chargeur rapide,Informatique,145.28,2,Michel,Boutique,290.56
29,2025-05-22,248,Chargeur rapide,Informatique,212.67,2,Roger-sur-Mer,Boutique,425.34
30,2025-07-26,22,Batterie externe,Informatique,120.91,3,Bonnin-sur-Didier,Boutique,362.73
31,2025-07-11,246,Disque SSD,Informatique,147.07,3,Sainte Isabelle,Web,441.21
32,2025-10-15,287,Chargeur rapide,Audio,161.7,1,Guillou,Web,161.7
33,2025-10-03,376,Batterie externe,Informatqiue,93.73,5,Millet,Boutique,468.65
34,2025-03-11,292,Disque SSD,Informatique,25.62,1,Deschampsboeuf,Marketplace,25.62
35,2025-07-24,334,Disque SSD,Informatqiue,164.22,2,,Web,328.44
36,2025-06-02,99,Chargeur rapide,Informatique,120.36,1,Fabre,Web,120.36
37,2025-07-21,45,Clavier,Informatique,114.15,3,MoulinVille,Boutique,342.45
38,2025-04-29,80,Souris,Informatique,19.43,1,Rolland-sur-Mer,Web,19.43
39,2025-07-16,455,Disque SSD,Informatique,135.79,5,,Web,678.95
40,2024-11-17,332,Souris,Informatqiue,75.5,1,,Web,75.5
41,2025-10-06,97,Webcam HD,Accessoire,121.21,2,Tanguy,Web,242.42
42,2025-03-19,152,Clavier,Informatique,97.42,0,,Boutique,0.0
43,2024-11-07,84,Écran 24 pouces,Informatique,81.99,5,Saint HenrietteVille,Web,409.95
44,2025-08-30,240,Clavier,Informatique,146.25,1,Sainte Josettedan,Web,146.25
45,2025-09-13,182,Écran 24 pouces,Informatique,-16.71,1,Clémentnec,Web,-16.71
46,2025-10-16,307,Souris,Informatique,20.04,1,,Web,20.04
47,2025-03-06,297,Webcam HD,Informatqiue,7.78,1,Duhamel,Web,7.78
48,2025-06-06,197,Écran 24 pouces,Informatique,122.29,2,,Boutique,244.58
49,2024-12-31,297,Enceinte Bluetooth,Informatique,-93.23,3,Lamy,Web,-279.69
50,2025-02-07,297,Webcam HD,Informatique,174.63,3,,Web,523.89
51,2024-12-15,448,Enceinte Bluetooth,Informatique,60.68,3,Sainte Laurencedan,Web,182.04
52,2025-10-28,67,Webcam HD,Audio,80.64,2,Pereira,Boutique,161.28
53,2024-11-13,103,Batterie externe,Audio,92.66,1,,Web,92.66
54,2025-01-29,31,Enceinte Bluetooth,Informatqiue,-24.8,2,Salmon,Boutique,-49.6
55,2025-01-27,106,Clavier,Accessoire,61.22,3,Saint Georges-sur-Mer,Boutique,183.66
56,2025-04-14,294,Câble USB-C,Audio,25.14,1,Grondin-la-Forêt,Web,25.14
57,2025-03-18,466,Clavier,Informatique,130.59,1,GomezBourg,Web,130.59
58,2025-10-20,109,Câble USB-C,Informatqiue,167.74,2,Mary,Web,335.48
